Time (s),Raw ADC,Voltage (V),Voltage_Filtered
5432.172,566,2.764,2.764
5432.392,573,2.798,2.769
5432.612,608,2.969,2.798
5432.832,567,2.769,2.798
5433.052,575,2.808,2.793
5433.272,572,2.793,2.793
5433.492,568,2.773,2.793
5433.712,573,2.798,2.788
5433.932,571,2.788,2.788
5434.152,570,2.783,2.793
5434.372,572,2.793,2.788
5434.592,623,3.042,2.793
5434.812,571,2.788,2.793
5435.032,573,2.798,2.793
5435.252,570,2.783,2.793
5435.472,572,2.793,2.793
5435.692,572,2.793,2.793
5435.912,569,2.778,2.793
5436.132,572,2.793,2.793
5436.352,627,3.062,2.793
5436.572,571,2.788,2.793
5436.792,573,2.798,2.793
5437.012,572,2.793,2.793
5437.232,567,2.769,2.793
5437.452,572,2.793,2.788
5437.672,571,2.788,2.788
5437.892,566,2.764,2.793
5438.112,587,2.866,2.788
5438.332,573,2.798,2.793
5438.552,567,2.769,2.793
5438.772,572,2.793,2.788
5438.992,571,2.788,2.788
5439.212,568,2.773,2.788
5439.432,571,2.788,2.788
5439.652,623,3.042,2.788
5439.872,570,2.783,2.788
5440.092,573,2.798,2.793
5440.312,571,2.788,2.793
5440.532,572,2.793,2.793
5440.752,572,2.793,2.793
5440.972,569,2.778,2.793
5441.192,596,2.91,2.793
5441.412,629,3.071,2.803
5441.632,571,2.788,2.803
5441.852,574,2.803,2.793
5442.072,572,2.793,2.793
5442.292,568,2.773,2.793
5442.512,573,2.798,2.788
5442.732,571,2.788,2.788
5442.952,565,2.759,2.798
5443.172,623,3.042,2.788
5443.392,585,2.856,2.803
5443.612,567,2.769,2.803
5443.832,574,2.803,2.788
5444.052,571,2.788,2.788
5444.272,568,2.773,2.788
5444.492,572,2.793,2.788
5444.712,571,2.788,2.788
5444.932,569,2.778,2.793
5445.152,625,3.052,2.788
5445.372,576,2.813,2.793
5445.592,571,2.788,2.793
5445.812,572,2.793,2.793
5446.032,569,2.778,2.793
5446.252,573,2.798,2.793
5446.472,572,2.793,2.793
5446.692,569,2.778,2.798
5446.912,608,2.969,2.793
5447.132,629,3.071,2.798
5447.352,572,2.793,2.798
5447.572,573,2.798,2.793
5447.792,572,2.793,2.793
5448.012,567,2.769,2.793
5448.232,572,2.793,2.793
5448.452,572,2.793,2.793
5448.672,566,2.764,2.793
5448.892,630,3.076,2.793
5449.112,574,2.803,2.793
5449.332,567,2.769,2.793
5449.552,572,2.793,2.788
5449.772,571,2.788,2.788
5449.992,569,2.778,2.793
5450.212,573,2.798,2.788
5450.432,613,2.993,2.798
5450.652,570,2.783,2.798
5450.872,573,2.798,2.793
5451.092,569,2.778,2.793
5451.312,572,2.793,2.793
5451.532,572,2.793,2.778
5451.752,567,2.769,2.793
5451.972,569,2.778,2.778
5452.192,628,3.066,2.778
5452.412,569,2.778,2.783
